type	name	latitude_deg	longitude_deg	icao_code
small_airport	Tekadu Airport	-7.6808	146.5503	AYTZ
small_airport	Umba Airport	-7.0214	145.966	AYUC
small_airport	Uroubi Airport	-9.5162	148.5591	AYUE
small_airport	Buin Airport	-6.729166667	155.6833333	AYUI
small_airport	Aumo Airport	-5.731111111	148.4452778	AYUM
small_airport	Gulgubip Airport	-5.2808	141.5411	AYUP
small_airport	Upiara Airport	-8.5411	142.6503	AYUR
small_airport	Kuyol Airport	-5.372361111	141.6238889	AYUY
small_airport	Uvol Airport	-6.0178	150.9557	AYUZ
small_airport	Talasea Airport	-5.2726	150.0089	AYVL
small_airport	Torembi Airport	-4.0165	143.1329	AYVM
medium_airport	Vanimo Airport	-2.6926	141.3028	AYVN
small_airport	Tonu Airport	-6.6552	155.4326	AYVO
small_airport	Wuvulu Island Airport	-1.736111111	142.8366667	AYVW
small_airport	Wabo Airport	-6.989444444	145.0751111	AYWB
small_airport	Wantoat Airport	-6.1325	146.4677778	AYWC
medium_airport	Wapenamanda Airport	-5.635293	143.892231	AYWD
small_airport	Wawoi Falls Airport	-6.9523	142.6557	AYWF
small_airport	Wanigela Airport	-9.3375	149.155556	AYWG
small_airport	Wanuma Airport	-4.8961	145.3213	AYWH
small_airport	Wapolu Airport	-9.3376	150.5093	AYWJ
medium_airport	Wewak International Airport	-3.583830118	143.6690063	AYWK
small_airport	Wonenara Airport	-6.796861111	145.8919444	AYWO
small_airport	Wakunai Airport	-5.8603	155.2223	AYWQ
small_airport	Wasu Airport	-5.961709449	147.1982253	AYWS
small_airport	Woitape Airport	-8.545833	147.2525	AYWT
small_airport	Wau Airport	-7.345556	146.718611	AYWU
small_airport	Yeva Airport	-7.548	146.188	AYXE
small_airport	Sim Airport	-7.75	146.9273	AYXI
small_airport	Tol Airport	-4.980830193	152.0099945	AYXO
small_airport	Wipim Airport	-8.78822	142.882004	AYXP
small_airport	Weam Airport	-8.6184	141.1381	AYXW
small_airport	Yalumet Airport	-6.09	147.0117	AYYE
small_airport	Yenkis(Yankisa) Airport	-5.109722222	143.9176667	AYYK
small_airport	Tinboli Airport	-4.0949	143.3838	AYYL
small_airport	Munbil Airport	-4.855941	141.220165	AYYM
small_airport	Oram Airport	-9.632916667	148.0480556	AYYO
small_airport	Yapsiei Airport	-4.628055556	141.0941667	AYYP
small_airport	Yasuru Airport	-6.6015	146.1813	AYYR
small_airport	Zenag Airport	-6.952222222	146.61625	AYZA
small_airport	Silur Airport	-4.529888889	153.0544444	AYZI
small_airport	Sissano Airport	-2.999444444	142.0445	AYZN
small_airport	Ossima Airport	-2.915555556	141.2973056	AYZS
medium_airport	Aasiaat Airport	68.721802	-52.784698	BGAA
medium_airport	Narsarsuaq Airport	61.1605	-45.425999	BGBW
heliport	Qasigiannguit Heliport	68.822816	-51.173447	BGCH
small_airport	Neerlerit Inaat Airport	70.743103	-22.650499	BGCO
medium_airport	Nuuk Airport	64.191066	-51.67914	BGGH
medium_airport	Ilulissat Airport	69.243202	-51.057098	BGJN
medium_airport	Kulusuk Airport	65.573601	-37.1236	BGKK
small_airport	Maniitsoq Airport	65.412498	-52.9394	BGMQ
small_airport	Paamiut Airport	62.014736	-49.670937	BGPT
small_airport	Qaanaaq Airport	77.488602	-69.388702	BGQQ
medium_airport	Kangerlussuaq Airport	67.010446	-50.715294	BGSF
medium_airport	Sisimiut Airport	66.951302	-53.729301	BGSS
medium_airport	Pituffik Space Base	76.531197	-68.703201	BGTL
small_airport	Upernavik Airport	72.790199	-56.1306	BGUK
heliport	Uummannaq Heliport	70.680428	-52.11163	BGUM
small_airport	Qaarsut Airport	70.7342	-52.696201	BGUQ
medium_airport	Akureyri Airport	65.656573	-18.072018	BIAR
small_airport	Bildudalur Airport	65.641296	-23.5462	BIBD
small_airport	Borgarfjörður eystri Airport	65.516769	-13.81578	BIBF
small_airport	Bakkafjörður Airport	66.02189636	-14.82439995	BIBK
small_airport	Blönduós Airport	65.644997	-20.2875	BIBL
small_airport	Breiðdalsvík Airport	64.790037	-14.043927	BIBV
small_airport	Djúpivogur Airport	64.642372	-14.277297	BIDV
medium_airport	Egilsstaðir Airport	65.28330231	-14.40139961	BIEG
small_airport	Fáskrúðsfjörður Airport	64.931456	-14.047957	BIFF
small_airport	Fagurhólsmýri Airport	63.874699	-16.6411	BIFM
small_airport	Grundarfjörður Airport	64.991402	-23.224701	BIGF
small_airport	Gjögur Airport	65.9953	-21.3269	BIGJ
small_airport	Grímsey Airport	66.5458	-18.0173	BIGR
small_airport	Hólmavík Airport	65.704697	-21.6964	BIHK
medium_airport	Hornafjörður Airport	64.295601	-15.2272	BIHN
medium_airport	Húsavík Airport	65.952301	-17.426001	BIHU
medium_airport	Ísafjörður Airport	66.058098	-23.1353	BIIS
large_airport	Keflavik International Airport	63.985001	-22.6056	BIKF
small_airport	Kópasker Airport	66.310799	-16.4667	BIKP
small_airport	Sauðárkrókur Airport	65.73169708	-19.57279968	BIKR
small_airport	Norðfjörður Airport	65.131897	-13.7464	BINF
small_airport	Ólafsfjörður Airport	66.083298	-18.6667	BIOF
small_airport	Patreksfjörður Airport	65.555801	-23.965	BIPA
small_airport	Reykhólar Airport	65.45262909	-22.20611572	BIRE
small_airport	Rif Airport	64.9114	-23.823099	BIRF
small_airport	Raufarhöfn Airport	66.406403	-15.9183	BIRG
medium_airport	Reykjavík Domestic Airport	64.128732	-21.93759	BIRK
